Column1,Column2
0,1.46173
0.10101,1.4558
0.20202,1.43687
0.30303,1.40926
0.40404,1.37759
0.505051,1.34514
0.606061,1.31374
0.707071,1.28417
0.808081,1.2566
0.909091,1.23091
1.0101,1.20688
1.11111,1.18425
1.21212,1.1628
1.31313,1.14233
1.41414,1.12268
1.51515,1.10374
1.61616,1.0854
1.71717,1.06758
1.81818,1.05023
1.91919,1.03328
2.0202,1.01671
2.12121,1.00047
2.22222,0.984542
2.32323,0.968889
2.42424,0.953493
2.52525,0.938332
2.62626,0.923389
2.72727,0.908647
2.82828,0.894092
2.92929,0.87971
3.0303,0.865488
3.13131,0.851416
3.23232,0.837483
3.33333,0.823678
3.43434,0.809994
3.53535,0.796422
3.63636,0.782954
3.73737,0.769585
3.83838,0.756307
3.93939,0.743115
4.0404,0.730004
4.14141,0.71697
4.24242,0.704008
4.34343,0.691115
4.44444,0.678287
4.54545,0.665523
4.64646,0.652817
4.74747,0.640169
4.84848,0.627573
4.94949,0.615026
5.05051,0.602525
5.15152,0.590065
5.25253,0.577642
5.35354,0.56525
5.45455,0.552886
5.55556,0.540544
5.65657,0.528221
5.75758,0.515911
5.85859,0.503612
5.9596,0.49132
6.06061,0.479033
6.16162,0.466749
6.26263,0.454466
6.36364,0.442184
6.46465,0.429902
6.56566,0.417619
6.66667,0.405337
6.76768,0.393054
6.86869,0.380772
6.9697,0.368489
7.07071,0.356206
7.17172,0.343923
7.27273,0.33164
7.37374,0.319357
7.47475,0.307074
7.57576,0.294791
7.67677,0.282508
7.77778,0.270225
7.87879,0.257942
7.9798,0.245659
8.08081,0.233376
8.18182,0.221093
8.28283,0.20881
8.38384,0.196527
8.48485,0.184244
8.58586,0.171961
8.68687,0.159678
8.78788,0.147396
8.88889,0.135113
8.9899,0.12283
9.09091,0.110547
9.19192,0.0982644
9.29293,0.0859815
9.39394,0.0736985
9.49495,0.0614155
9.59596,0.0491325
9.69697,0.0368495
9.79798,0.0245664
9.89899,0.0122831
10,2.15951E-16
