Column1,Column2
-0.494949,0.121601
-0.474747,0.121601
-0.454545,0.121601
-0.434343,0.121601
-0.414141,0.121601
-0.393939,0.121601
-0.373737,0.121601
-0.353535,0.121601
-0.333333,0.121601
-0.313131,0.121601
-0.292929,0.121601
-0.272727,0.121601
-0.252525,0.121601
-0.232323,0.121601
-0.212121,0.121601
-0.191919,0.121601
-0.171717,0.121601
-0.151515,0.121601
-0.131313,0.121602
-0.111111,0.121602
-0.0909091,0.121602
-0.0707071,0.121602
-0.0505051,0.121602
-0.030303,0.121602
-0.010101,0.121602
0.010101,0.121602
0.030303,0.121602
0.0505051,0.121602
0.0707071,0.121602
0.0909091,0.121602
0.111111,0.121602
0.131313,0.121602
0.151515,0.121602
0.171717,0.121602
0.191919,0.121602
0.212121,0.121602
0.232323,0.121602
0.252525,0.121602
0.272727,0.121602
0.292929,0.121602
0.313131,0.121602
0.333333,0.121602
0.353535,0.121602
0.373737,0.121602
0.393939,0.121602
0.414141,0.121602
0.434343,0.121602
0.454545,0.121602
0.474747,0.121602
0.494949,0.121602
